submission_id,scenario,predicate,sentence_frame,RT,response
1651,inspect,heavy,together,7376,collective
1651,inspect,tall,each,3080,distributive
1651,inspect,heavy,bare,2234,distributive
1651,inspect,big,each,2714,distributive
1651,inspect,heavy,each,3432,distributive
1651,inspect,big,bare,2750,distributive
1651,inspect,big,together,2185,distributive
1651,inspect,tall,bare,3696,distributive
1651,inspect,tall,together,3250,collective
1650,move,big,together,3795,collective
1650,move,tall,bare,2723,distributive
1650,move,tall,together,3922,collective
1650,move,heavy,each,8381,distributive
1650,move,tall,each,5523,distributive
1650,move,heavy,together,5878,collective
1650,move,heavy,bare,6341,distributive
1650,move,big,bare,5428,distributive
1650,move,big,each,1876,distributive
1635,move,big,each,8429,distributive
1635,move,tall,bare,6848,collective
1635,move,heavy,together,7748,collective
1635,move,tall,each,10133,distributive
1635,move,heavy,each,6413,distributive
1635,move,heavy,bare,4086,collective
1635,move,tall,together,4586,collective
1635,move,big,together,6992,collective
1635,move,big,bare,6285,distributive
1633,inspect,heavy,together,3369,distributive
1633,inspect,tall,each,2876,distributive
1633,inspect,tall,bare,3014,distributive
1633,inspect,big,bare,2403,distributive
1633,inspect,heavy,each,1945,distributive
1633,inspect,heavy,bare,3309,collective
1633,inspect,tall,together,2905,collective
1633,inspect,big,each,1868,distributive
1633,inspect,big,together,2410,collective
