submission_id,trial_number,scenario,predicate,sentence_frame,RT,response
1919,1,inspect,big,bare,6150,distributive
1919,2,inspect,tall,together,4159,collective
1919,3,inspect,tall,each,4597,distributive
1919,4,inspect,heavy,each,10756,distributive
1919,5,inspect,big,together,6622,distributive
1919,6,inspect,big,each,6034,distributive
1919,7,inspect,heavy,together,3188,collective
1919,8,inspect,tall,bare,2549,collective
1919,9,inspect,heavy,bare,2918,collective
1915,1,move,heavy,together,12716,collective
1915,2,move,heavy,bare,4190,distributive
1915,3,move,tall,each,8190,distributive
1915,4,move,heavy,each,3178,distributive
1915,5,move,big,each,4660,distributive
1915,6,move,big,together,2582,collective
1915,7,move,tall,together,3298,collective
1915,8,move,big,bare,2381,distributive
1915,9,move,tall,bare,2814,distributive
1905,1,inspect,tall,together,10278,collective
1905,2,inspect,heavy,together,6953,collective
1905,3,inspect,heavy,each,3341,distributive
1905,4,inspect,tall,each,3112,distributive
1905,5,inspect,big,each,2112,distributive
1905,6,inspect,heavy,bare,8725,distributive
1905,7,inspect,tall,bare,2297,distributive
1905,8,inspect,big,bare,2558,distributive
1905,9,inspect,big,together,5910,distributive
1896,1,inspect,big,together,11012,distributive
1896,2,inspect,heavy,each,3756,distributive
1896,3,inspect,big,each,1970,distributive
1896,4,inspect,big,bare,3062,distributive
1896,5,inspect,heavy,bare,3416,collective
1896,6,inspect,heavy,together,1696,collective
1896,7,inspect,tall,bare,1349,distributive
1896,8,inspect,tall,each,3339,distributive
1896,9,inspect,tall,together,1733,collective
1892,1,inspect,big,bare,23405,collective
1892,2,inspect,big,together,1988,collective
1892,3,inspect,heavy,together,3978,collective
1892,4,inspect,tall,each,8411,distributive
1892,5,inspect,tall,together,2784,collective
1892,6,inspect,big,each,7751,distributive
1892,7,inspect,tall,bare,3532,distributive
1892,8,inspect,heavy,each,2646,distributive
1892,9,inspect,heavy,bare,1691,distributive
1888,1,move,tall,together,14492,distributive
1888,2,move,big,together,7860,collective
1888,3,move,heavy,bare,37235,distributive
1888,4,move,big,bare,5123,distributive
1888,5,move,big,each,4381,distributive
1888,6,move,tall,bare,12299,collective
1888,7,move,tall,each,1444,distributive
1888,8,move,heavy,each,6069,distributive
1888,9,move,heavy,together,2232,collective
1885,1,inspect,big,bare,3210,distributive
1885,2,inspect,tall,each,5500,distributive
1885,3,inspect,big,each,2894,distributive
1885,4,inspect,heavy,each,8406,distributive
1885,5,inspect,heavy,together,2526,collective
1885,6,inspect,big,together,3680,collective
1885,7,inspect,tall,bare,2921,distributive
1885,8,inspect,tall,together,2417,collective
1885,9,inspect,heavy,bare,2697,distributive
1880,1,inspect,big,together,2923,collective
1880,2,inspect,tall,bare,3959,collective
1880,3,inspect,big,each,4051,distributive
1880,4,inspect,tall,together,3087,collective
1880,5,inspect,heavy,each,4067,distributive
1880,6,inspect,heavy,bare,3297,collective
1880,7,inspect,big,bare,2535,distributive
1880,8,inspect,heavy,together,2145,collective
1880,9,inspect,tall,each,2414,distributive
1878,1,move,heavy,bare,61552,distributive
1878,2,move,tall,bare,7612,distributive
1878,3,move,tall,together,2702,collective
1878,4,move,big,each,3076,distributive
1878,5,move,big,bare,2659,distributive
1878,6,move,heavy,each,2959,distributive
1878,7,move,big,together,2816,collective
1878,8,move,tall,each,2182,distributive
1878,9,move,heavy,together,4683,collective
1874,1,inspect,heavy,together,28706,collective
1874,2,inspect,heavy,bare,5057,distributive
1874,3,inspect,tall,together,5520,collective
1874,4,inspect,heavy,each,3096,distributive
1874,5,inspect,big,each,1733,distributive
1874,6,inspect,big,together,3147,collective
1874,7,inspect,tall,bare,2099,distributive
1874,8,inspect,tall,each,1752,distributive
1874,9,inspect,big,bare,3921,distributive
1872,1,inspect,tall,each,19452,collective
1872,2,inspect,tall,bare,4875,distributive
1872,3,inspect,heavy,together,2975,collective
1872,4,inspect,heavy,bare,6519,collective
1872,5,inspect,big,together,2045,collective
1872,6,inspect,big,each,1698,distributive
1872,7,inspect,heavy,each,2679,distributive
1872,8,inspect,big,bare,2422,distributive
1872,9,inspect,tall,together,2558,collective
1870,1,inspect,big,each,14948,distributive
1870,2,inspect,tall,each,7164,distributive
1870,3,inspect,big,together,2679,collective
1870,4,inspect,heavy,together,7115,collective
1870,5,inspect,tall,bare,4219,distributive
1870,6,inspect,heavy,each,3243,distributive
1870,7,inspect,heavy,bare,10401,distributive
1870,8,inspect,tall,together,3082,collective
1870,9,inspect,big,bare,3228,distributive
1869,1,inspect,tall,together,4260,collective
1869,2,inspect,tall,each,14414,collective
1869,3,inspect,tall,bare,2753,collective
